m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err;h27;h27_err;h28;h28_err
19;4.38502246e+00;1.24007379e-03;-7.62060857e+00;2.49868038e+01;1.73915136e+01;5.60750317e+01;-5.74945730e+00;5.71378255e+00;2.13088749e+01;3.11753078e+01;-5.43688070e+01;1.02251281e+02;1.03678890e+02;2.94245179e+02;-1.20303376e+02;8.21279002e+02;3.34953047e+01;1.82037632e+03;8.12275009e+01;2.58806964e+03;-3.01497388e+01;2.37880037e+03;-8.39899694e+01;3.00201249e+03;-5.11844231e+00;5.28044646e+02;8.29825954e+01;9.34832082e+03;5.35938104e+01;1.45804872e+04;-4.62755717e+01;1.20474964e+04;-8.72286500e+01;8.54310316e+03;-1.42978630e+01;6.32093650e+03;9.07748577e+01;7.35539065e+03;5.81022143e+01;7.32969122e+03;-1.18003439e+02;4.15050354e+03;3.98843950e+01;9.30978616e+02;;;;;;;;;;;;;;;;;;
20;4.38503471e+00;1.25001767e-03;-4.60830515e+00;6.36994617e+01;1.93718218e+01;6.54872853e+01;-5.06144835e+00;1.45366525e+01;1.89566040e+01;6.88443118e+01;-4.82288007e+01;1.97228864e+02;8.73283839e+01;4.32440465e+02;-7.99957706e+01;6.49969126e+02;-1.21421099e+01;1.06601210e+03;4.51656453e+01;5.76829483e+03;8.73154705e+01;1.05043127e+04;-6.33126338e+01;6.31233898e+03;-2.19591016e+02;1.54479813e+04;1.67157586e+02;1.76695794e+04;1.38656990e+02;1.20443918e+04;3.57662381e+01;7.30944003e+03;-2.30221789e+02;1.50745687e+04;-1.04252066e+02;1.43264799e+04;2.57915488e+02;2.02959385e+04;-5.93402155e+01;2.51405760e+04;3.95958341e+01;1.78328806e+04;-9.50937722e+01;8.81053767e+03;3.91431202e+01;1.90622321e+03;;;;;;;;;;;;;;;;
21;4.38508334e+00;1.37090491e-03;3.34338197e+00;1.15270579e+02;2.96746225e+01;2.61443701e+02;-3.24456992e+00;2.63033330e+01;1.38708787e+01;8.24762961e+01;-3.60291847e+01;2.31030184e+02;5.01447240e+01;6.19601566e+02;3.46894586e+01;2.00523593e+03;-1.98853911e+02;7.42911974e+03;1.26872860e+02;1.79880201e+04;1.81714014e+02;2.13905069e+04;-8.35505004e+01;1.74681152e+04;-2.54940515e+02;2.48318937e+04;-1.35082178e+01;2.85585606e+03;2.09372967e+02;3.11044434e+04;1.87593664e+02;3.54870111e+04;-4.06296493e+01;1.33437887e+04;-2.48016845e+02;5.95003724e+04;-1.56362781e+02;5.56355734e+04;1.10110436e+02;2.70988691e+04;2.60443499e+02;5.13250415e+04;5.31453914e+01;4.15257781e+04;-3.21618705e+02;1.82476158e+04;1.29284897e+02;3.46805493e+03;;;;;;;;;;;;;;
22;4.38511175e+00;1.40939485e-03;4.80538879e+00;1.47037071e+02;3.84025824e+01;2.47236608e+02;-2.90968556e+00;3.35516278e+01;1.44612048e+01;1.55580842e+02;-3.95205170e+01;4.58071094e+02;5.55671135e+01;1.06902433e+03;3.80079582e+01;2.14865377e+03;-2.05619627e+02;5.27083533e+03;1.08330991e+02;1.52742322e+04;2.00404272e+02;2.26048571e+04;-6.42481434e+01;1.35357132e+04;-2.31030065e+02;3.45559021e+04;-6.81884351e+01;9.05594863e+03;1.56007060e+02;7.42122972e+04;2.04623056e+02;9.09348073e+04;3.55897021e+01;3.22472199e+04;-1.66930230e+02;4.06281727e+04;-1.84600512e+02;9.18125144e+04;-4.34972260e+01;4.38023057e+04;1.56557042e+02;7.55024768e+04;1.90941140e+02;6.43602905e+04;-2.67645247e+00;4.66573432e+03;-2.75751902e+02;1.73072532e+04;1.25376529e+02;5.25582434e+03;;;;;;;;;;;;
23;4.38487980e+00;1.27479015e-03;4.50347741e+00;5.65100497e+01;1.45662318e+00;5.64595542e+01;-2.98701184e+00;1.28838233e+01;6.61292192e+00;4.07286637e+01;-1.08210919e+01;8.86748883e+01;1.72042465e+00;1.57356860e+02;8.75708422e+01;6.70620070e+02;-2.47626582e+02;3.22414415e+03;1.46009644e+02;8.75100082e+03;3.01977259e+02;1.27787659e+04;-2.51198744e+02;1.07528175e+04;-3.43931650e+02;7.86516580e+03;2.45096976e+01;2.03690581e+03;5.81978218e+02;8.55088037e+03;1.44808752e+02;1.06356504e+04;-3.91512321e+02;1.66893305e+04;-3.74816295e+02;3.95349216e+04;-1.14059687e+02;2.74655652e+04;3.70390251e+02;5.76527302e+04;5.98904928e+02;6.72068077e+04;-1.42561701e+02;7.24661415e+04;-7.67287938e+02;1.00948880e+05;1.02063196e+02;2.90825023e+04;4.80132944e+02;2.21181830e+04;-2.00464535e+02;9.44485801e+03;;;;;;;;;;
24;4.38518056e+00;1.33610290e-03;-3.00910294e+00;9.31764519e+01;2.60371117e+01;1.02841656e+02;-4.69156169e+00;2.12618945e+01;1.88275981e+01;8.03318396e+01;-4.77246309e+01;2.06713388e+02;7.30755561e+01;3.74638160e+02;1.19607559e+00;1.57652601e+02;-2.27954409e+02;3.47646313e+03;3.50917719e+02;1.31359132e+04;-9.09363223e+01;2.15404928e+04;-1.68012051e+02;1.47120820e+04;-3.52992163e+01;1.72424825e+04;2.17066925e+02;1.96403169e+04;-3.40463765e+00;2.01941089e+03;-4.35775764e+01;2.57636811e+04;-7.84945184e+01;2.33889761e+04;-1.85843129e+02;6.29431685e+04;3.48303039e+02;6.04592310e+04;2.54616679e+01;1.73374499e+04;-9.32702260e+01;6.23835723e+04;-2.42220312e+02;1.01898074e+05;8.73635855e+01;9.35764395e+04;1.92611655e+02;7.35515031e+04;2.80412554e+01;4.11210207e+04;-2.02049539e+02;1.52073087e+04;8.07035612e+01;3.49389678e+03;;;;;;;;
25;4.38493390e+00;1.22591616e-03;-5.32004785e+00;4.21895280e+01;1.21274462e+01;8.26423758e+01;-5.22720342e+00;9.62668754e+00;1.80717987e+01;5.06046634e+01;-4.49091379e+01;1.55373984e+02;8.50948728e+01;3.87105809e+02;-9.38198956e+01;9.14862231e+02;1.05218915e+01;1.87780492e+03;7.53738002e+01;2.57843468e+03;-3.72699692e+00;8.54284975e+02;-6.66963657e+01;5.83634332e+03;-3.35782899e+01;8.18571156e+03;2.00094013e+01;3.39514680e+03;8.04669586e+01;5.29459225e+03;3.32058687e+01;1.08011888e+04;-3.50380957e+01;1.48033156e+04;-7.10953357e+01;2.05025340e+04;-4.92682463e+01;2.38715618e+04;1.87443115e+01;7.30899743e+03;6.65668760e+01;2.23026209e+04;6.88360417e+01;3.41396012e+04;1.45930174e+00;1.11651879e+03;-7.13089784e+01;4.10734922e+04;-7.05586219e+01;3.23055726e+04;7.04346833e+00;5.87085912e+03;1.12051852e+02;1.07445721e+04;-5.27740435e+01;3.28858401e+03;;;;;;
26;4.38495845e+00;1.26045633e-03;-4.26567391e+00;1.05866913e+02;1.42088588e+01;8.97800529e+01;-4.98576376e+00;2.41531165e+01;1.75461797e+01;1.08344514e+02;-4.37896853e+01;3.04111708e+02;8.10579479e+01;6.79181020e+02;-8.03727590e+01;1.21851953e+03;-7.51035458e+00;1.33646029e+03;7.12080148e+01;3.00863324e+03;1.91075581e+01;3.80524070e+03;-5.91879371e+01;8.23872948e+03;-5.63243731e+01;1.01845167e+04;1.50502829e+01;5.16235185e+03;6.35579476e+01;1.41597634e+04;5.25882646e+01;2.76653815e+04;9.51055051e-01;4.51879492e+02;-6.78977984e+01;4.00858994e+04;-6.66623422e+01;3.60472809e+04;-1.82336656e+01;1.27787408e+04;4.25951740e+01;3.45802830e+04;8.03064268e+01;3.61870349e+04;4.48312140e+01;3.87382156e+04;-1.85115602e+01;1.46102056e+04;-7.80861956e+01;4.88998772e+04;-6.58346395e+01;5.04751448e+04;2.61288989e+01;3.49889573e+04;1.09342779e+02;3.10138467e+04;-5.73046943e+01;8.84050272e+03;;;;
27;4.38493775e+00;1.27662866e-03;-3.67549213e+00;9.95449538e+01;1.46552885e+01;1.24301325e+02;-4.85167914e+00;2.27155416e+01;1.71201234e+01;1.00797445e+02;-4.29103365e+01;2.87069769e+02;7.97632020e+01;6.52822204e+02;-7.91402203e+01;1.17186701e+03;-4.32442632e+00;1.09411879e+03;5.87150691e+01;4.39209968e+03;2.76354947e+01;1.10489048e+04;-4.79787206e+01;1.52965374e+04;-5.93963100e+01;1.21200716e+04;-9.56970954e+00;5.53810449e+03;7.37263714e+01;2.38938459e+04;6.06339047e+01;2.86866210e+04;3.29239186e+00;1.83345844e+03;-5.92134345e+01;2.87895477e+04;-7.45302564e+01;2.16717258e+04;-2.32140424e+01;1.25070691e+04;3.45057532e+01;3.09684017e+04;8.06993610e+01;3.84059197e+04;4.34554084e+01;3.54156211e+04;-2.76673149e+01;3.42251659e+04;-3.53237598e+01;5.13402349e+04;-3.93259405e+01;3.64544599e+04;-3.15102633e+01;2.48317727e+04;4.45965243e+01;3.89074724e+04;5.11214968e+01;3.21314665e+04;-3.66974767e+01;8.38622253e+03;;
28;4.38495148e+00;1.32139324e-03;-2.57152280e+00;1.14609221e+02;1.70666901e+01;2.31646521e+02;-4.59923501e+00;2.61524565e+01;1.66317794e+01;1.19725498e+02;-4.20380879e+01;3.59735656e+02;7.64353221e+01;8.71389903e+02;-6.63224579e+01;1.88752073e+03;-2.47096926e+01;4.09459094e+03;6.32526612e+01;9.39145480e+03;4.28719771e+01;1.53376192e+04;-5.10642275e+01;1.62780681e+04;-6.46802085e+01;1.30265753e+04;-9.19876200e+00;4.48863026e+03;5.57497015e+01;3.66315230e+04;6.13662278e+01;5.02435324e+04;1.92834467e+01;1.23835654e+04;-3.46167673e+01;3.60303605e+04;-6.60951131e+01;2.77721655e+04;-4.58686023e+01;3.28061284e+04;-9.99295513e-01;5.56998435e+02;5.22746369e+01;4.59660586e+04;7.06392844e+01;4.85239048e+04;3.14959498e+01;2.98011785e+04;-2.95212130e+01;3.91092288e+04;-8.23984009e+01;4.71967434e+04;2.58418181e+01;4.42738035e+04;-5.04127471e+01;4.92761725e+04;2.81618574e+01;4.58885359e+04;7.44107324e+01;2.82882653e+04;-4.61395321e+01;7.18233137e+03
