m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err
12;4.67213386e+00;8.42071470e-04;-3.58746737e+01;1.23957936e+02;3.56178079e+01;8.79198602e+02;1.61726379e+02;8.20863580e+02;-2.87895958e+02;4.35166918e+03;7.25033294e+01;9.03793143e+03;3.75793658e+03;3.65182991e+04;2.36610882e+03;1.58351658e+05;-1.15626811e+01;2.65185850e+01;4.74766696e+01;2.90408505e+02;-9.42942474e+01;1.13118453e+03;9.71579995e+01;2.07856306e+03;2.82021608e+01;2.18068150e+03;1.36744934e+02;5.90726803e+03;-3.42613695e+01;5.42853426e+03;1.27783655e+02;5.66224178e+03;1.36503865e+00;2.60315864e+02;-1.43190734e+02;3.44438551e+03;1.13522049e+02;2.30645876e+03;-2.82870548e+01;5.09556787e+02;;;;;;;;;;;;;;;;;;;;;;
13;4.67215493e+00;8.42266219e-04;-3.54852373e+01;1.98080472e+02;3.06207956e+01;1.53949274e+03;1.78130671e+02;2.29933979e+03;-2.64548065e+02;6.13058663e+03;-2.07879998e+02;1.78799188e+04;4.59475474e+03;2.86878462e+04;1.52175333e+03;1.52028584e+05;-1.14777527e+01;4.23968446e+01;4.60154980e+01;4.94002439e+02;-8.45239484e+01;2.17198726e+03;6.24731140e+01;5.01723594e+03;1.02740195e+02;6.93057324e+03;4.34043913e+01;7.23279464e+03;4.80971933e+01;7.19036028e+03;5.73644515e+01;4.25715907e+03;-1.08042579e+01;2.11990629e+03;-8.85413208e+00;2.42296406e+03;-7.82958601e+01;3.37958615e+03;9.56964603e+01;3.43606635e+03;-3.12355297e+01;1.01522014e+03;;;;;;;;;;;;;;;;;;;;
14;4.67216730e+00;8.42548240e-04;-3.40470250e+01;2.69446456e+02;2.24674199e+01;1.82753174e+03;1.59055779e+02;2.42516283e+03;-1.14514646e+02;1.54046609e+04;-6.12142610e+02;2.68545031e+04;5.69281976e+03;9.22892218e+04;2.90562520e+03;4.04854305e+05;-1.11673519e+01;5.76805529e+01;4.29471764e+01;6.14021656e+02;-7.61441535e+01;2.21598298e+03;5.73398673e+01;4.31197354e+03;9.59962700e+01;1.11954698e+04;1.09183417e+02;2.75534167e+04;9.37690568e+01;2.22345533e+04;8.38292029e+01;1.75384874e+04;-1.40575232e+02;1.56140107e+04;3.05261370e+01;1.07800641e+04;1.70053851e+02;1.76444860e+04;-2.67271601e+02;2.44822746e+04;1.71485402e+02;1.35969304e+04;-4.17791862e+01;2.89075329e+03;;;;;;;;;;;;;;;;;;
15;4.67217021e+00;8.42101049e-04;-3.78157200e+01;1.37768710e+02;4.39655892e+01;8.48707225e+02;1.87149942e+02;1.11108595e+03;-2.48156212e+02;6.78163294e+03;-1.29304242e+03;1.45800381e+04;9.48914062e+03;7.10530219e+04;-9.00165031e+03;2.59096350e+05;-1.19725369e+01;2.94937052e+01;5.05959349e+01;2.95641711e+02;-9.39618682e+01;9.57644463e+02;3.98138307e+01;1.65506927e+03;2.43421255e+02;4.50688928e+03;-2.24759586e+02;1.02191118e+04;7.24059321e+00;1.12327840e+03;3.06455702e+01;3.36812524e+03;-9.12988326e+01;6.02973491e+03;-1.67096183e+02;1.47850463e+04;4.77639286e+02;3.96902031e+04;-5.45778960e+02;5.04170827e+04;3.72706317e+02;3.59816809e+04;-1.48506594e+02;1.40168175e+04;2.62704736e+01;2.33757064e+03;;;;;;;;;;;;;;;;
16;4.67215234e+00;8.42039498e-04;-3.76295868e+01;3.38654605e+02;4.36770435e+01;2.76762877e+03;1.98736444e+02;5.48918146e+03;-4.69084586e+02;6.86473654e+03;2.19963637e+02;3.74437746e+04;3.60469672e+03;5.84411910e+04;6.08745419e+02;1.03664533e+05;-1.19382248e+01;7.24861942e+01;5.06746128e+01;8.73908558e+02;-9.73900467e+01;4.19194911e+03;6.19139367e+01;1.11047605e+04;1.61243821e+02;1.78406197e+04;-1.22387619e+02;1.65579726e+04;9.20119113e+01;1.56723123e+04;9.97445797e+01;8.80326893e+03;1.20505606e+01;3.81493594e+03;-1.28568229e+02;1.15024659e+04;-6.23613284e+01;1.84289324e+04;1.43148060e+02;2.56722103e+04;5.69130662e+01;2.36049108e+04;-1.34936429e+02;1.25547288e+04;4.21593721e+01;5.29675932e+03;2.75580270e+00;1.48478308e+03;;;;;;;;;;;;;;
17;4.67208561e+00;8.41622059e-04;-4.15286802e+01;1.91052542e+02;7.04612680e+01;1.50042873e+03;2.08829374e+02;3.27951366e+03;-7.84428449e+02;2.87776300e+03;1.01131599e+03;2.83835832e+04;2.32872985e+03;6.93182961e+04;-3.19751792e+03;9.12294942e+04;-1.27778975e+01;4.08894159e+01;5.98720237e+01;4.79544834e+02;-1.30032844e+02;2.34308517e+03;1.05451339e+02;6.51612481e+03;1.70607277e+02;1.05617634e+04;-3.13616245e+02;8.05357442e+03;5.61014337e+01;6.39135415e+03;1.96555205e+02;9.29592831e+03;-5.65910384e+01;6.15498952e+03;-2.45023958e+02;6.10549610e+03;4.39587572e+01;4.16396723e+03;2.04889756e+02;9.06644214e+03;-3.10163471e+00;4.03358387e+02;-1.03781277e+02;7.72654598e+03;-9.13556687e+01;6.36382132e+03;1.48756158e+02;4.64255354e+03;-4.68022213e+01;1.44645185e+03;;;;;;;;;;;;
18;4.67218630e+00;8.42759571e-04;-3.15624407e+01;1.26038800e+02;-5.39774866e+00;1.03757622e+03;2.06369064e+02;1.92889231e+03;3.96579937e+02;6.38462847e+03;-3.93982427e+03;2.61941248e+04;1.71954820e+04;6.27162622e+04;-1.59864940e+04;1.17501443e+05;-1.06271237e+01;2.70003716e+01;3.44512615e+01;3.27550170e+02;-2.68194548e+01;1.51849623e+03;-8.09300680e+01;3.71094549e+03;3.11702458e+02;5.30176431e+03;5.41442463e+01;8.66410231e+03;-3.55103551e+02;1.54517843e+04;-1.68008729e+02;2.84769819e+04;2.34871659e+02;3.12171007e+04;-6.04931891e+01;2.38695324e+04;1.23037220e+02;3.00604924e+04;-3.22163164e+02;3.74368191e+04;1.31878576e+02;2.99009601e+04;6.07875460e+01;1.86045781e+04;1.59829958e+02;4.18713284e+04;-3.05145892e+02;5.02956674e+04;1.55839573e+02;2.65386103e+04;-2.41832605e+01;5.35776660e+03;;;;;;;;;;
19;4.67218624e+00;8.42157222e-04;-3.48972830e+01;4.27117455e+01;1.83239674e+01;4.83603990e+02;2.20260297e+02;2.90489431e+03;-3.61185383e+00;6.88683765e+02;-2.41248722e+03;4.27222303e+04;1.24443895e+04;1.48818246e+05;-1.20745900e+04;3.45475561e+05;-1.13460313e+01;9.12177963e+00;4.25811756e+01;1.28750316e+02;-5.69501499e+01;1.05823595e+03;-3.52971199e+01;4.02942572e+03;2.80667369e+02;6.57079543e+03;-2.11192390e+01;1.67437901e+03;-4.25867105e+02;2.52542532e+04;2.55524445e+02;2.77130005e+04;-9.12458558e+01;1.91199891e+04;4.94143904e+01;8.23726968e+03;-2.41427465e+02;3.17204566e+04;3.31665861e+02;4.99249648e+04;-2.16872698e+02;3.67740356e+04;3.83241453e+01;5.25903111e+03;6.56836566e+01;2.97958635e+04;5.32612423e+01;2.76471098e+04;-2.24475256e+02;2.65727137e+04;1.80324707e+02;1.68214936e+04;-4.69595925e+01;3.91666877e+03;;;;;;;;
20;4.67216391e+00;8.42384044e-04;-3.50737165e+01;7.23815375e+01;2.03063141e+01;5.48765562e+02;2.16319355e+02;9.73203167e+02;-4.89553919e+01;3.72548758e+03;-1.94856229e+03;1.41884305e+04;1.06791013e+04;3.61479054e+04;-1.04028511e+04;5.98402998e+04;-1.13859501e+01;1.55031055e+01;4.32559408e+01;1.77737602e+02;-6.19505861e+01;7.82733822e+02;-1.23064037e+01;1.85692339e+03;2.25173754e+02;2.63511426e+03;-2.30010230e+01;4.86737403e+03;-2.18657658e+02;1.08787791e+04;-1.84671894e+02;2.11715680e+04;3.72271857e+02;2.40351912e+04;-1.68017133e+02;1.60499643e+04;-1.16370109e+00;3.64056639e+02;-1.17715463e+02;1.16304801e+04;-2.66999668e+01;7.55484727e+03;1.78633339e+02;2.26776381e+04;8.97656577e+01;2.55165619e+04;-1.04573825e+02;2.71934547e+04;-1.14671994e+02;2.34868580e+04;-3.31911925e+01;2.34934708e+04;1.84505894e+02;1.39922644e+04;-7.68685146e+01;3.10680894e+03;;;;;;
21;4.67216040e+00;8.42788977e-04;-1.76558501e+01;1.23038134e+02;-1.37540085e+02;1.65379333e+03;4.79025389e+02;5.55788144e+03;9.94763623e+02;9.83306776e+03;-6.80528173e+03;5.15691791e+04;2.34394561e+04;1.47744402e+05;-2.44251508e+04;1.44498347e+05;-7.65307120e+00;2.63631124e+01;-5.31533325e+00;4.55867473e+02;1.70808044e+02;2.79896947e+03;-5.42411755e+02;8.44795015e+03;8.11380007e+02;1.40910560e+04;7.81997287e+01;1.22662846e+04;-9.01959921e+02;3.38684949e+04;-3.78563584e+02;8.78282968e+04;5.95289052e+02;1.62592759e+05;4.77354541e+02;1.88139060e+05;-1.68699642e+02;8.58119243e+04;-7.73821884e+02;8.22062191e+04;-3.27604792e+02;8.10044845e+04;4.55073421e+02;1.28848057e+05;7.55613559e+02;1.40778499e+05;2.22399678e+02;7.58920986e+04;-4.95105721e+02;1.20090612e+05;-7.88208115e+02;1.15913485e+05;-1.57112720e+02;1.13806678e+05;1.30298625e+03;7.42661493e+04;-5.80936995e+02;1.82804397e+04;;;;
22;4.67216634e+00;8.42757015e-04;-3.20008133e+01;2.19572659e+02;4.39090268e+00;1.36414803e+03;1.93368394e+02;1.94586274e+03;-6.88330322e+01;1.08151116e+04;-7.51568149e+02;5.43468191e+04;5.76916013e+03;1.82350561e+05;3.47929455e+03;5.56614451e+05;-1.07298889e+01;4.69751901e+01;3.74018787e+01;4.70663034e+02;-4.98602528e+01;1.51438499e+03;-5.28265906e+00;1.97096057e+03;1.83726068e+02;5.41308406e+03;3.23690357e+01;2.19720753e+04;2.22583430e+02;4.87975639e+04;-1.11860479e+02;3.67935121e+04;3.22538381e+01;1.96659237e+04;6.07642233e+01;1.88714805e+04;-6.05524998e+01;1.80751639e+04;8.65796379e+00;5.96110039e+03;3.15127873e+01;2.03208413e+04;-4.89422866e+01;2.66735866e+04;-7.65183271e+01;6.09111261e+04;1.26974751e+02;7.55094170e+04;-1.84376465e+01;9.84787234e+03;1.25364740e+02;8.62833419e+04;-2.44742296e+02;1.19357420e+05;9.10756892e+01;9.13547989e+04;2.98778909e+01;4.62964599e+04;-1.45856126e+01;1.10957188e+04;;
23;4.67212907e+00;8.42483369e-04;-3.55139985e+01;4.00329803e+02;2.90170327e+01;2.76984645e+03;2.00593520e+02;2.41944295e+03;-3.78322436e+02;1.38491840e+04;3.61373049e+02;3.13650447e+04;2.66999429e+03;8.65062548e+04;2.11951317e+03;3.40839209e+05;-1.14877635e+01;8.56792397e+01;4.58819111e+01;9.24971989e+02;-8.21727327e+01;3.59586221e+03;5.72050843e+01;6.82161656e+03;9.74099794e+01;6.80783359e+03;1.36207631e+01;3.15523466e+03;4.82666239e+01;1.77198997e+04;4.40211757e+01;1.81761185e+04;-1.91394666e+01;7.69142098e+03;4.63014308e+01;1.58337426e+04;-3.26214289e+01;1.62891722e+04;-2.72298023e+01;8.87950263e+03;-1.74731732e+01;7.68502073e+03;1.80789976e+01;9.06228430e+03;9.21399857e+00;4.32067282e+03;1.96080496e+01;1.55166531e+04;3.01108175e+01;1.79569007e+04;-1.91197647e+01;1.40040370e+04;-3.59083872e+01;2.54023991e+04;-2.34689937e+01;2.52220015e+04;1.67852042e+01;2.51835188e+04;4.32767505e+01;2.68928099e+04;-2.43983864e+01;8.30893216e+03
