degree;B1;B2;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err;A17;A17_err;A18;A18_err;A19;A19_err;A20;A20_err;A21;A21_err;A22;A22_err;A23;A23_err;A24;A24_err;A25;A25_err;A26;A26_err;A27;A27_err;A28;A28_err;A29;A29_err;A30;A30_err
15;6.52067920e+00;8.90043160e+00;1.68796479e+01;3.34658347e-04;1.10383891e+01;3.42831629e-03;-4.11438354e+00;1.78453418e-02;1.33731973e+00;1.00108438e-01;4.34843039e-01;2.53809726e-01;-7.20494893e-01;1.00778404e+00;6.58677145e+00;1.48480663e+00;-1.43198078e+01;4.73450454e+00;-9.12420284e+00;4.27160833e+00;3.70605450e+01;1.16937946e+01;4.89140255e+00;6.38819690e+00;-4.40657905e+01;1.56269164e+01;-4.73437981e-01;4.76089425e+00;2.65678891e+01;1.06763546e+01;-3.19354527e-01;1.39648400e+00;-6.52137915e+00;2.92035306e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;6.52067920e+00;8.90043160e+00;1.68798443e+01;3.55050138e-04;1.10377585e+01;3.45000376e-03;-4.14288638e+00;2.47764189e-02;1.35544447e+00;1.00724176e-01;1.08188106e+00;4.65543391e-01;-8.87125375e-01;1.01291626e+00;1.06825716e+00;3.64534519e+00;-1.36168100e+01;4.75371582e+00;1.38007719e+01;1.44763923e+01;3.54864755e+01;1.17321416e+01;-4.64696872e+01;3.16418596e+01;-4.21141302e+01;1.56701294e+01;6.28745641e+01;3.85189827e+01;2.52974680e+01;1.07025672e+01;-4.07723716e+01;2.44489714e+01;-6.18238910e+00;2.92703383e+00;1.04411172e+01;6.30006476e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;6.52067920e+00;8.90043160e+00;1.68798446e+01;3.55036208e-04;1.10378010e+01;4.09062935e-03;-4.14293216e+00;2.48034863e-02;1.35323036e+00;1.51084431e-01;1.08283020e+00;4.66273902e-01;-8.53630767e-01;1.96603851e+00;1.06133669e+00;3.64958406e+00;-1.38429620e+01;1.22491809e+01;1.38247620e+01;1.44846052e+01;3.62908107e+01;4.16076041e+01;-4.65142882e+01;3.16443705e+01;-4.37260771e+01;8.11697456e+01;6.29205901e+01;3.85096872e+01;2.71255844e+01;9.06333431e+01;-4.07974344e+01;2.44385616e+01;-7.27598146e+00;5.37590722e+01;1.04467820e+01;6.29678324e+00;2.67918536e-01;1.31182358e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
18;6.52067920e+00;8.90043160e+00;1.68798981e+01;3.75793547e-04;1.10378288e+01;4.09375369e-03;-4.15278970e+00;3.35875444e-02;1.34902074e+00;1.51523979e-01;1.36544463e+00;7.98930374e-01;-7.72810746e-01;1.97778642e+00;-2.02722128e+00;7.97195253e+00;-1.44742002e+01;1.23636011e+01;3.06784522e+01;4.12923188e+01;3.87928185e+01;4.21345772e+01;-9.80252961e+01;1.22335367e+02;-4.91802392e+01;8.24474667e+01;1.55089073e+02;2.14904520e+02;3.37271579e+01;9.23052746e+01;-1.36552009e+02;2.20991230e+02;-1.14258985e+01;5.48734298e+01;6.38807981e+01;1.22717290e+02;1.32300981e+00;1.34145051e+01;-1.23748844e+01;2.83813286e+01;;;;;;;;;;;;;;;;;;;;;;;;
19;6.52067920e+00;8.90043160e+00;1.68799041e+01;3.75881027e-04;1.10349466e+01;4.80244731e-03;-4.15404736e+00;3.36146262e-02;1.53680496e+00;2.23056420e-01;1.43026358e+00;8.01280322e-01;-4.35489359e+00;3.69697439e+00;-3.05157318e+00;8.02611483e+00;1.63722814e+01;2.96081896e+01;3.78367529e+01;4.17866838e+01;-1.04305816e+02;1.31750426e+02;-1.24134684e+02;1.24519313e+02;3.38952955e+02;3.48540250e+02;2.08398945e+02;2.20036487e+02;-5.99811750e+02;5.60509904e+02;-1.97839094e+02;2.27543443e+02;6.00581352e+02;5.36955838e+02;1.00893218e+02;1.27000328e+02;-3.20683652e+02;2.81394491e+02;-2.14982112e+01;2.95026423e+01;7.10545031e+01;6.20291114e+01;;;;;;;;;;;;;;;;;;;;;;
20;6.52067920e+00;8.90043160e+00;1.68797792e+01;3.94782655e-04;1.10352707e+01;4.81296528e-03;-4.12549773e+00;4.34772885e-02;1.52374125e+00;2.23485870e-01;4.05588441e-01;1.27355300e+00;-4.19763219e+00;3.70211299e+00;1.11371597e+01;1.58859377e+01;1.58486703e+01;2.96336315e+01;-6.15912051e+01;1.04769006e+02;-1.05840208e+02;1.31869829e+02;2.74522495e+02;4.04840942e+02;3.53644750e+02;3.49159001e+02;-7.60762016e+02;9.61949272e+02;-6.40064064e+02;5.62434702e+02;1.25447628e+03;1.42151855e+03;6.53996860e+02;5.40019152e+02;-1.20904097e+03;1.27186155e+03;-3.55734225e+02;2.83748165e+02;6.30085349e+02;6.30106353e+02;8.01635646e+01;6.27240006e+01;-1.37225516e+02;1.32541131e+02;;;;;;;;;;;;;;;;;;;;
21;6.52067920e+00;8.90043160e+00;1.68797798e+01;3.94751604e-04;1.10341590e+01;5.58544805e-03;-4.12532638e+00;4.35252729e-02;1.61329748e+00;3.19478682e-01;4.05111600e-01;1.27555737e+00;-6.30724205e+00;6.52967199e+00;1.10799824e+01;1.59165392e+01;3.84947756e+01;6.49117927e+01;-6.07180151e+01;1.05012880e+02;-2.38932554e+02;3.64210170e+02;2.68912481e+02;4.06014631e+02;8.22156542e+02;1.24533356e+03;-7.41579251e+02;9.65524665e+02;-1.67012136e+03;2.68821729e+03;1.21709572e+03;1.42835049e+03;2.07886209e+03;3.67690855e+03;-1.16750878e+03;1.27968016e+03;-1.55985850e+03;3.08725877e+03;6.05633523e+02;6.34951794e+02;6.47664214e+02;1.45048786e+03;-1.31313777e+02;1.33782738e+02;-1.14228703e+02;2.91739274e+02;;;;;;;;;;;;;;;;;;
22;6.52067920e+00;8.90043160e+00;1.68795866e+01;4.12657922e-04;1.10346963e+01;5.59204852e-03;-4.07124356e+00;5.49582880e-02;1.58845619e+00;3.19417537e-01;-1.97996173e+00;1.95330404e+00;-5.99160086e+00;6.52016219e+00;5.18815847e+01;2.98870445e+01;3.75124996e+01;6.47634579e+01;-4.16961627e+02;2.44468976e+02;-2.45349866e+02;3.63263162e+02;2.07560432e+03;1.19047014e+03;8.82608183e+02;1.24226796e+03;-6.43066480e+03;3.65217596e+03;-1.87819990e+03;2.68297143e+03;1.26770644e+04;7.23407563e+03;2.46223416e+03;3.67271237e+03;-1.59405871e+04;9.22648521e+03;-1.95873668e+03;3.08697012e+03;1.23870840e+04;7.31083978e+03;8.68499047e+02;1.45213237e+03;-5.42175643e+03;3.27153312e+03;-1.64822270e+02;2.92464517e+02;1.02226871e+03;6.31288997e+02;;;;;;;;;;;;;;;;
23;6.52067920e+00;8.90043160e+00;1.68795800e+01;4.12966126e-04;1.10373754e+01;6.35238651e-03;-4.07078263e+00;5.51425262e-02;1.32717392e+00;4.33506001e-01;-2.01424707e+00;1.96428273e+00;1.48025167e+00;1.06099346e+01;5.27374490e+01;3.01147022e+01;-6.07336619e+01;1.27630159e+02;-4.27330252e+02;2.46801705e+02;4.70360713e+02;8.79424824e+02;2.14417309e+03;1.20419717e+03;-2.29357003e+03;3.76472243e+03;-6.69727087e+03;3.70194518e+03;7.14588981e+03;1.04485628e+04;1.33130106e+04;7.34854723e+03;-1.42897224e+04;1.91072994e+04;-1.68815028e+04;9.39343928e+03;1.82494251e+04;2.28383461e+04;1.32282781e+04;7.46006907e+03;-1.43870559e+04;1.71531862e+04;-5.83759008e+03;3.34595082e+03;6.37791467e+03;7.34034059e+03;1.10946169e+03;6.47117736e+02;-1.21597638e+03;1.36401843e+03;;;;;;;;;;;;;;
24;6.52067920e+00;8.90043160e+00;1.68796083e+01;4.09750375e-04;1.10368676e+01;6.36240232e-03;-4.08007635e+00;5.28621072e-02;1.37242785e+00;4.34532983e-01;-1.51916344e+00;1.80931023e+00;2.66636317e-01;1.06359143e+01;4.25102674e+01;2.63667125e+01;-4.55980792e+01;1.27902226e+02;-3.18891140e+02;2.01773664e+02;3.65252511e+02;8.81038276e+02;1.46926797e+03;8.91879506e+02;-1.84775193e+03;3.77157561e+03;-4.04642162e+03;2.35217478e+03;5.93301116e+03;1.04719167e+04;6.48699870e+03;3.59156574e+03;-1.21300899e+04;1.91675177e+04;-5.19984525e+03;2.84550131e+03;1.57462408e+04;2.29432807e+04;7.00878932e+01;2.85148595e+03;-1.25680875e+04;1.72656486e+04;3.53052288e+03;4.03005088e+03;5.62561057e+03;7.40644097e+03;-2.70995847e+03;2.52388513e+03;-1.08088682e+03;1.38024048e+03;6.79209865e+02;5.97901921e+02;;;;;;;;;;;;
25;6.52067920e+00;8.90043160e+00;1.68796679e+01;4.32172118e-04;1.10351859e+01;6.24005440e-03;-4.09490798e+00;6.95820859e-02;1.52424611e+00;4.14146854e-01;-8.98746859e-01;2.97939214e+00;-3.90800269e+00;9.80007026e+00;3.23907877e+01;5.50482105e+01;8.36996416e+00;1.12981990e+02;-2.34271206e+02;5.46701109e+02;-2.91002313e+01;7.35769931e+02;1.05837648e+03;3.26813065e+03;-5.76043513e+01;2.90806089e+03;-2.81545292e+03;1.25237217e+04;6.19122147e+02;7.14165025e+03;4.16381825e+03;3.17946962e+04;-1.55515214e+03;1.05772035e+04;-2.48598739e+03;5.40372278e+04;1.57641252e+03;8.00440997e+03;-1.73557705e+03;6.07622065e+04;5.81052657e-02;1.10708213e+01;4.02565316e+03;4.33467992e+04;-1.41342623e+03;5.29861660e+03;-2.62414228e+03;1.77558586e+04;1.15879685e+03;3.99396651e+03;6.18067618e+02;3.17858138e+03;-3.05751345e+02;9.93788233e+02;;;;;;;;;;
26;6.52067920e+00;8.90043160e+00;1.68795774e+01;4.49452845e-04;1.10367333e+01;6.26466849e-03;-4.07005880e+00;8.59344551e-02;1.39639830e+00;4.17121066e-01;-2.01221565e+00;4.43150584e+00;-7.04951226e-01;9.93100012e+00;5.17412590e+01;9.98188843e+01;-2.88014156e+01;1.15454201e+02;-4.04860376e+02;1.22032622e+03;2.09281228e+02;7.59174734e+02;1.91491508e+03;9.06639331e+03;-9.74990754e+02;3.03359492e+03;-5.35744418e+03;4.36788597e+04;2.79902831e+03;7.55237115e+03;8.38154777e+03;1.41635089e+05;-4.66765498e+03;1.14345672e+04;-4.93074638e+03;3.14728464e+05;3.83987076e+03;9.20318498e+03;-6.13330001e+03;4.79794534e+05;1.34880332e+01;1.93146118e+03;1.49335143e+04;4.92908314e+05;-2.81958966e+03;5.00437457e+03;-1.30544869e+04;3.25864359e+05;2.17875527e+03;3.89497174e+03;5.55898925e+03;1.25099783e+05;-5.50738254e+02;9.79147502e+02;-9.55905670e+02;2.11799013e+04;;;;;;;;
27;6.52067920e+00;8.90043160e+00;1.68796444e+01;4.30738925e-04;1.10359184e+01;6.95495865e-03;-4.09002787e+00;6.84179497e-02;1.46282219e+00;5.40873926e-01;-1.05652205e+00;2.89897684e+00;-2.37760420e+00;1.52092428e+01;3.40809343e+01;5.29598104e+01;-8.94189850e+00;2.12901428e+02;-2.39934660e+02;5.18317717e+02;7.64221627e+01;1.73148397e+03;1.03923481e+03;3.03244477e+03;-4.27640058e+02;8.90705638e+03;-2.60576104e+03;1.12344692e+04;1.35221441e+03;3.04945330e+04;3.49763768e+03;2.69906845e+04;-2.21482728e+03;7.17952787e+04;-1.61149395e+03;4.17282852e+04;1.35786999e+03;1.19162390e+05;-1.59720911e+03;3.92433519e+04;1.01663675e+03;1.42800597e+05;2.04505831e+03;1.84536497e+04;-2.03386728e+03;1.25496032e+05;8.98353607e+00;3.73260025e+03;8.63049420e+02;7.84255641e+04;-9.14431206e+02;5.21525240e+03;1.67643092e+02;3.07225776e+04;3.46863059e+02;1.55395706e+03;-1.48303715e+02;5.51371536e+03;;;;;;
28;6.52067920e+00;8.90043160e+00;1.68795818e+01;4.43184274e-04;1.10364881e+01;6.79760857e-03;-4.07167237e+00;8.29747585e-02;1.41803100e+00;5.33006209e-01;-1.90652342e+00;4.29899389e+00;-1.26428513e+00;1.55430235e+01;4.90803608e+01;9.92691086e+01;-2.23032198e+01;2.29581180e+02;-3.71083971e+02;1.26554655e+03;1.69659665e+02;1.99234878e+03;1.67033522e+03;9.94574859e+03;-8.44406254e+02;1.09963086e+04;-4.28906019e+03;5.13652318e+04;2.60632576e+03;4.03368401e+04;5.57183620e+03;1.81243119e+05;-4.79244469e+03;1.00526853e+05;-1.00264931e+03;4.46836387e+05;4.89589642e+03;1.70988109e+05;-6.67233456e+03;7.76852835e+05;-1.95886083e+03;1.95851552e+05;6.60808080e+03;9.48776734e+05;-9.38993858e+02;1.45473398e+05;2.54657385e+03;7.97675935e+05;1.23822419e+03;6.46499606e+04;-8.31538548e+03;4.40624668e+05;-3.51783299e+02;1.43496850e+04;5.43061608e+03;1.44410314e+05;-2.12741112e+00;9.51177450e+02;-1.22214892e+03;2.13534560e+04;;;;
29;6.52067920e+00;8.90043160e+00;1.68796433e+01;4.42140454e-04;1.10386771e+01;6.83323099e-03;-4.09767424e+00;7.92815152e-02;1.18251499e+00;5.20890943e-01;-3.25240386e-01;3.86394548e+00;5.95588835e+00;1.43522414e+01;1.18630345e+01;8.39946797e+01;-1.21369731e+02;1.95923103e+02;7.72605394e+01;1.02530886e+03;8.95712398e+02;1.54646470e+03;-1.48608138e+03;7.94479118e+03;-3.88816780e+03;7.66742631e+03;9.58722477e+03;4.18375859e+04;9.77369926e+03;2.47113552e+04;-3.34333310e+04;1.55048919e+05;-1.22812147e+04;5.03961031e+04;6.74848289e+04;4.09968877e+05;1.04987850e+03;6.07120171e+04;-7.20665620e+04;7.73249832e+05;1.55071821e+04;1.25038506e+05;1.37526024e+04;1.02803062e+06;-8.45246806e+03;3.16201821e+05;6.37827443e+04;9.38159091e+05;-2.27358337e+04;4.43003939e+05;-8.23334303e+04;5.58134760e+05;3.82015302e+04;3.59121072e+05;4.35690390e+04;1.94716483e+05;-2.31668589e+04;1.59654944e+05;-8.94385341e+03;3.02021912e+04;5.21011014e+03;3.02274003e+04;;
30;6.52067920e+00;8.90043160e+00;1.68795834e+01;4.50873024e-04;1.10383155e+01;8.36998654e-03;-4.07580579e+00;8.97220084e-02;1.22304023e+00;8.20079115e-01;-1.58512643e+00;4.97974334e+00;4.77481462e+00;2.84937145e+01;4.05237792e+01;1.23037801e+02;-1.06964124e+02;4.87504911e+02;-2.62007345e+02;1.66999298e+03;8.11118012e+02;4.81129025e+03;8.95918559e+02;1.38896189e+04;-3.68004308e+03;2.98585424e+04;-1.01911431e+03;7.53608634e+04;9.97685279e+03;1.22280929e+05;-2.66665596e+03;2.76137659e+05;-1.49273212e+04;3.38427030e+05;1.01968840e+04;6.92234497e+05;7.78988817e+03;6.36501903e+05;-1.05242405e+04;1.17463082e+06;9.40995358e+03;8.10563503e+05;-3.38791058e+03;1.28198754e+06;-1.37716343e+04;7.27469051e+05;1.26671888e+04;7.53365299e+05;-3.39237009e+03;5.77303841e+05;-9.81853565e+01;1.31844326e+04;1.74208290e+04;4.24856588e+05;-1.50827268e+04;3.24382653e+05;-1.25870260e+04;1.95671288e+05;1.24878338e+04;2.08646269e+05;3.05005778e+03;3.83555290e+04;-3.24396532e+03;4.50796417e+04
