m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err
12;4.67215511e+00;8.41113845e-04;-3.79692743e+01;6.29888523e+01;4.96813856e+01;5.18092274e+02;1.65223555e+02;1.06167446e+03;-4.08694866e+02;2.07675901e+03;1.67252690e+02;9.98028915e+03;3.99973830e+03;2.09668808e+04;-1.20100505e+01;1.34867267e+01;5.21949971e+01;1.63425864e+02;-1.09244432e+02;7.90085920e+02;1.04714701e+02;2.12382976e+03;8.70785035e+01;3.68115416e+03;-6.61546955e+01;5.11600603e+03;1.21950496e+02;7.80275437e+03;3.17898095e+01;9.34772969e+03;-5.02930585e+01;7.87126678e+03;-6.18407982e+01;4.89891860e+03;8.38150747e+01;2.11983582e+03;-2.62711618e+01;4.34280027e+02;;;;;;;;;;;;;;;;;;;;;;;;
13;4.67215936e+00;8.41984964e-04;-3.45588907e+01;3.83400406e+01;2.19338694e+01;2.84543118e+02;1.93901102e+02;3.95471576e+02;-1.95743483e+02;2.71579010e+03;-6.52367508e+02;8.64641789e+03;6.00094296e+03;1.90926634e+04;-1.12783495e+01;8.22133847e+00;4.33261699e+01;9.34295517e+01;-7.06124982e+01;3.86205433e+02;2.46413147e+01;8.25308736e+02;1.61963839e+02;1.43178219e+03;2.71743241e+01;3.14193916e+03;-2.04301255e+01;4.11313852e+03;1.21912241e+02;4.57033257e+03;-4.32276577e+01;4.65116683e+03;-3.72711114e+01;3.10705314e+03;-2.26590267e+01;2.84259970e+03;6.08676200e+01;2.01275750e+03;-2.30299768e+01;5.17952752e+02;;;;;;;;;;;;;;;;;;;;;;
14;4.67215336e+00;8.42234875e-04;-3.35042785e+01;1.06405013e+02;2.09505460e+01;7.89870866e+02;1.32814430e+02;6.69576300e+02;3.31259742e+01;6.59813584e+03;-9.71602556e+02;2.17174812e+04;6.92571026e+03;4.16218103e+04;-1.10509313e+01;2.27985874e+01;4.21404276e+01;2.58845067e+02;-7.83360816e+01;1.04505087e+03;8.90318462e+01;1.77340394e+03;8.14722933e-02;1.14557662e+01;2.28356116e+02;6.67774903e+03;6.58615551e+01;1.09316088e+04;-2.26111544e+02;1.10578842e+04;6.15546598e+01;8.17015204e+03;2.58475012e+02;1.55688336e+04;-1.19802589e+02;3.11209879e+04;-3.10281627e+02;2.91071829e+04;3.47791526e+02;1.35862475e+04;-1.05568416e+02;2.58708183e+03;;;;;;;;;;;;;;;;;;;;
15;4.67215948e+00;8.42636530e-04;-3.19473815e+01;7.69433852e+01;-3.26910541e+00;5.72029802e+02;2.54443152e+02;8.24152847e+02;-1.40800209e+02;6.78665271e+03;-1.10292848e+03;1.96128477e+04;6.95073984e+03;3.66028654e+04;-1.07194680e+01;1.64958686e+01;3.57626935e+01;1.87597221e+02;-3.10722149e+01;7.51649132e+02;-8.19485915e+01;1.56322450e+03;3.18880252e+02;4.17482761e+03;-4.31211695e+01;1.10270782e+04;-6.21437249e+01;1.44145879e+04;1.48930574e+02;1.69822748e+04;1.09354825e+02;2.91090380e+04;-1.87880199e+02;3.61572836e+04;-1.10583648e+02;3.18175610e+04;2.11738785e+02;1.68012063e+04;-3.23088049e+00;1.26054645e+03;-9.23169882e+01;3.48700102e+03;3.32819264e+01;1.20653060e+03;;;;;;;;;;;;;;;;;;
16;4.67217036e+00;8.42444516e-04;-3.63431355e+01;8.83573928e+01;3.40802132e+01;6.64376091e+02;2.01400867e+02;8.47479752e+02;-3.57321685e+02;7.43979458e+03;-4.51626417e+02;2.44800087e+04;6.06492676e+03;4.12611130e+04;-1.16590900e+01;1.89338096e+01;4.73619459e+01;2.16511429e+02;-8.21916732e+01;8.69939192e+02;1.31976867e+01;1.40687337e+03;2.88893990e+02;3.46795095e+03;-2.63598381e+02;1.46752293e+04;2.61514953e+02;2.70452546e+04;1.07619402e+02;3.23084745e+04;-1.00337589e+02;2.45553410e+04;-2.53651325e+02;1.69651400e+04;1.52102837e+02;4.08010720e+04;2.71974940e+02;4.57309847e+04;-1.55263537e+02;3.29640793e+04;-2.75059716e+02;3.05867316e+04;3.00158659e+02;1.74471287e+04;-8.48720030e+01;3.82438389e+03;;;;;;;;;;;;;;;;
17;4.67216833e+00;8.42189179e-04;-4.08421347e+01;3.48429683e+02;6.85353173e+01;3.03154696e+03;1.79642024e+02;7.09943306e+03;-6.45199354e+02;7.44234790e+03;5.10419311e+02;5.58368798e+04;3.51406548e+03;1.08278621e+05;-1.26244944e+01;7.45855253e+01;5.86123329e+01;9.38916383e+02;-1.28198408e+02;4.78835150e+03;1.02795187e+02;1.33707077e+04;1.90820964e+02;2.17230931e+04;-2.86107431e+02;2.28612905e+04;1.80012317e+02;3.36239463e+04;2.64948310e+02;3.56380380e+04;-1.35076495e+02;1.77823249e+04;-3.66001822e+02;4.87706159e+04;1.95344358e+02;6.01735970e+04;1.55674583e+02;5.45399153e+04;1.67018602e+02;4.52041266e+04;-2.95173912e+02;1.32541593e+04;-1.84908301e+02;3.39236519e+04;3.54557942e+02;2.69667402e+04;-1.19831723e+02;6.78028424e+03;;;;;;;;;;;;;;
18;4.67216872e+00;8.41006030e-04;-3.94053453e+01;9.32358050e+02;5.35119326e+01;1.42073117e+03;2.21793899e+02;1.42034441e+04;-6.35714288e+02;1.40786246e+04;6.33002051e+02;2.85860115e+03;1.96205499e+03;2.20486949e+05;-1.23192227e+01;1.99546526e+02;5.43287048e+01;1.07836759e+03;-1.06406620e+02;2.88429186e+02;6.32163489e+01;7.16706818e+03;1.66175207e+02;2.39050539e+04;-1.68208048e+02;1.49943003e+04;-2.34908073e+01;4.30949977e+03;1.91751314e+02;1.90848902e+04;9.07244143e+01;3.30363657e+04;-2.13895301e+02;3.31600219e+04;-1.14262161e+02;2.74109336e+04;1.12870715e+02;7.78357736e+03;1.23727141e+02;3.20519302e+04;6.72870158e+01;1.76504057e+04;-1.92549266e+02;2.25364111e+04;-6.86508828e+01;1.30732451e+04;1.74065141e+02;2.16617308e+04;-5.78504001e+01;6.93668542e+03;;;;;;;;;;;;
19;4.67228927e+00;8.42199493e-04;-7.65499746e+01;9.77833543e+01;1.33216591e+02;1.44278162e+03;3.11178044e+02;6.53513939e+02;-1.34733256e+03;5.27807613e+03;5.20938734e+01;1.35175921e+04;3.37139105e+03;4.31351430e+04;-2.02564813e+01;2.09162198e+01;1.01688401e+02;3.87972238e+02;-2.23323391e+02;1.48081545e+03;1.03453353e+02;3.34024410e+03;4.07524776e+02;4.73246347e+03;-5.90458839e+02;7.74998220e+03;-1.93064449e+00;9.85376030e+02;6.86721739e+02;1.60315229e+04;3.36846782e+01;1.86764578e+04;-5.45810047e+02;8.31224343e+04;-3.46282789e+02;1.39381957e+05;2.91378903e+02;1.50147656e+05;5.19464090e+02;1.68879138e+05;1.06058281e+02;9.52588910e+04;-4.03749586e+02;1.43340580e+05;-4.08702699e+02;1.70468037e+05;2.61787814e+02;1.68722043e+05;3.09537820e+02;8.89689067e+04;-1.84377558e+02;1.79073688e+04;;;;;;;;;;
20;4.67218459e+00;8.43088036e-04;-1.38597371e+01;2.70895280e+02;-1.23482584e+02;2.46439911e+03;1.81743616e+02;5.19258164e+03;1.36065301e+03;2.42513277e+04;-5.33320128e+03;7.47639386e+04;1.92154517e+04;1.59768459e+05;-6.83343863e+00;5.80609331e+01;-5.79897359e+00;7.55199513e+02;1.09769503e+02;3.59905594e+03;-2.59037974e+02;9.69832242e+03;3.62933846e+02;2.37469020e+04;4.80088283e+02;4.83136356e+04;9.34809179e+01;5.34086634e+04;-2.61489472e+02;5.21444085e+04;-1.44515934e+02;1.26181156e+05;1.22485149e+02;1.21092027e+05;3.81074058e+02;9.69757999e+04;1.13008467e+02;5.15024383e+04;-3.45987026e+02;1.41712222e+05;-3.63752539e+02;1.42584479e+05;-1.22771701e+02;9.50574022e+04;3.90729292e+02;2.39032122e+05;5.36725658e+02;1.89759364e+05;-6.98177282e+01;8.28301961e+04;-8.13612142e+02;6.15649726e+04;4.10642739e+02;1.82692451e+04;;;;;;;;
21;4.67218107e+00;8.43062733e-04;-1.21366261e+01;2.36883157e+02;-1.55045079e+02;2.34671064e+03;3.46951746e+02;5.76101459e+03;1.16938643e+03;1.54091202e+04;-5.58030644e+03;5.48841502e+04;1.88020356e+04;1.34917511e+05;-6.46742615e+00;5.07617936e+01;-1.38345829e+01;7.00170069e+02;1.71724110e+02;3.61808148e+03;-4.74028778e+02;1.00681957e+04;7.18440981e+02;1.90781472e+04;2.20785513e+02;2.75600424e+04;-6.44866312e+01;3.51938653e+04;-5.68051741e+01;3.31569188e+04;-3.26316160e+01;3.15677005e+04;2.91456975e+02;4.70481863e+04;-9.37453904e+01;6.00728790e+04;2.97843758e+01;1.55112189e+04;-3.70339917e+02;1.14350739e+05;2.04412272e+02;1.44015634e+05;1.77006729e+02;7.27468571e+04;-2.03850749e+02;8.60917809e+04;9.05506712e+01;6.36295070e+04;7.27309263e+01;5.40241257e+04;-5.30019319e+00;6.32921310e+03;-1.75677574e+02;2.79250430e+04;9.90957628e+01;1.08660850e+04;;;;;;
22;4.67219773e+00;8.43293263e-04;-2.72555377e+02;1.08227730e+03;9.60860389e+02;3.97975221e+03;4.93730329e+01;1.49257933e+04;-4.95041878e+03;4.56841511e+04;3.45890107e+03;2.37749535e+05;1.32218102e+04;4.55570235e+05;-6.21650802e+01;2.31182735e+02;4.39433588e+02;1.58295529e+03;-1.34255936e+03;6.79918540e+03;1.84075656e+03;2.11720551e+04;-3.25839156e+02;6.43508750e+04;-1.34961035e+03;2.16503426e+05;7.15065081e+02;4.17177711e+05;2.04677621e+03;4.48684004e+05;3.42301020e+02;2.51963179e+05;-3.61661730e+03;4.86664848e+05;5.54759774e+02;5.81700601e+05;1.63284494e+02;1.49009060e+05;2.61312905e+03;5.56910739e+05;3.46551208e+02;4.04479022e+05;-1.18298801e+03;1.11572911e+06;-1.93891991e+03;1.52816666e+06;-6.39731065e+02;6.84571259e+05;1.48494932e+03;1.29956797e+06;1.46815688e+03;9.75868608e+05;5.42609704e+02;6.44476453e+05;-2.73119605e+03;4.90437581e+05;1.12701630e+03;1.25238817e+05;;;;
23;4.67218411e+00;8.42989994e-04;-1.78019978e+01;1.83663088e+02;-9.98595688e+01;1.83107944e+03;2.17366809e+02;6.08692374e+03;1.02549127e+03;1.79079517e+04;-4.64784113e+03;4.56246131e+04;1.70801579e+04;1.13180658e+05;-7.67953236e+00;3.93584166e+01;2.66704039e+00;5.42265341e+02;8.62154823e+01;3.00200491e+03;-2.51891315e+02;1.00579677e+04;4.12282893e+02;2.27360339e+04;3.38328163e+02;3.18999000e+04;3.34335857e+01;2.82943492e+04;-1.58911220e+02;2.80649263e+04;-2.40752590e+01;1.36068660e+04;1.19796358e+02;3.38131771e+04;7.13226056e+01;3.87024477e+04;1.01048108e+02;5.82799566e+04;-2.21042663e+02;6.10184381e+04;-2.03146169e+01;1.02799435e+04;-1.44954489e+02;7.97182620e+04;5.95793948e+01;5.98878622e+04;3.79276183e+02;9.07058805e+04;-1.07313149e+02;6.80501380e+04;-1.29336076e+02;9.30714860e+04;-5.40172514e+01;7.98981609e+04;-2.26530715e+01;3.90666552e+04;1.10188360e+02;4.61816637e+04;-3.34417051e+01;1.59733094e+04;;
24;4.67215319e+00;8.42580417e-04;-2.98945829e+01;5.23193590e+01;-2.75744365e+01;4.36098425e+02;3.34702663e+02;2.01449104e+03;-1.52214081e+02;6.32506132e+03;-1.08763908e+03;8.03489489e+03;5.78028837e+03;1.73214054e+04;-1.02830836e+01;1.11983468e+01;2.90086206e+01;1.35285455e+02;7.51250885e+00;8.17277187e+02;-1.77824501e+02;3.45578273e+03;4.12418385e+02;8.97176259e+03;-8.29426126e+01;1.38758732e+04;-7.76951463e+01;1.23845690e+04;-6.10853676e+01;1.87440673e+04;2.88594698e+02;3.14004672e+04;9.74717836e+01;4.54784963e+04;-2.49206176e+02;8.75694838e+04;-2.06849371e+02;8.41592889e+04;8.52742861e+01;2.33690937e+04;1.95035414e+02;2.53497540e+04;3.15860278e+01;1.37343588e+04;8.28587888e+00;6.97094753e+03;-1.00635769e+02;4.38752305e+04;4.63317252e+01;4.79191761e+04;-1.10683200e+02;5.24202044e+04;1.36510932e+01;1.90163589e+04;-3.81345531e+01;5.79157990e+04;1.77505145e+02;8.62544543e+04;-7.20200598e+01;6.11636580e+04;-1.44824909e+01;1.57282135e+04
