m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err
12;4.38518089e+00;1.15293684e-03;-5.57238519e+01;6.69666873e+00;2.99566837e+02;6.70575032e+01;-9.14686522e+02;2.79844021e+02;1.34192967e+03;4.33752471e+02;-1.67108995e+01;1.51662781e+00;1.29236863e+02;2.04455828e+01;-6.25738913e+02;1.25002257e+02;2.03433771e+03;4.18413686e+02;-4.44027084e+03;7.94747532e+02;6.50049200e+03;1.56566067e+03;-5.32782604e+03;4.73600777e+03;3.10471914e+02;9.13798825e+03;4.45749614e+03;1.06994728e+04;-4.90791895e+03;7.62099110e+03;2.36629405e+03;3.05653421e+03;-4.53993199e+02;5.31100351e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4.38539633e+00;1.21624937e-03;-5.91327816e+01;7.12167782e+00;3.42755135e+02;8.57311986e+01;-1.10034635e+03;3.95535533e+02;1.61687796e+03;6.27894401e+02;-1.74809254e+01;1.60923914e+00;1.41918152e+02;2.48573788e+01;-7.10632508e+02;1.66616154e+02;2.33592261e+03;5.82351060e+02;-5.06808807e+03;1.10992496e+03;7.29911527e+03;1.73297403e+03;-5.94009458e+03;4.96263964e+03;9.49643157e+02;9.55482332e+03;2.89972323e+03;1.08649412e+04;-2.31961710e+03;7.75957833e+03;3.20436709e+01;3.99118559e+03;6.39563898e+02;1.62660006e+03;-2.11012810e+02;3.37338444e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
14;4.38431568e+00;1.43121299e-03;-9.99030357e+00;8.07918496e+01;3.97873857e+01;5.64163395e+02;-2.50912859e+02;3.22123206e+03;6.36494117e+02;6.29089603e+03;-6.31241298e+00;1.84169162e+01;2.92912441e+01;1.46621751e+02;-1.46480028e+02;1.14934759e+03;5.91566063e+02;4.90745530e+03;-1.48905574e+03;1.13576871e+04;2.35598590e+03;1.55407713e+04;-1.89364396e+03;1.04968002e+04;-1.19416072e+00;1.49941539e+02;1.18697367e+03;1.56485760e+04;-3.06121513e+02;3.55609319e+04;-9.84390427e+02;3.90625458e+04;1.00727680e+03;2.34882660e+04;-3.75003230e+02;7.66999052e+03;4.68058794e+01;1.13962611e+03;;;;;;;;;;;;;;;;;;;;;;;;
15;4.38401363e+00;1.37928867e-03;-7.18781065e-02;6.59954977e+01;-8.18708080e+01;2.37468016e+02;2.14201463e+02;1.14607588e+03;-1.39811158e+01;2.58291242e+03;-4.06380340e+00;1.50411598e+01;-6.95547072e+00;1.02435814e+02;8.36903028e+01;4.43579663e+02;-2.08193617e+02;1.61471904e+03;1.90420869e+02;3.47474436e+03;1.70510434e+02;4.11157181e+03;-4.65846530e+02;5.44772633e+03;8.97768994e+01;9.15638223e+03;4.30105510e+02;1.29379057e+04;-1.41578508e+02;2.18846731e+04;-3.76025547e+02;1.97544125e+04;1.18952552e+02;1.75315561e+04;3.73676449e+02;1.77539431e+04;-3.36279263e+02;8.95306346e+03;8.56892429e+01;1.74266692e+03;;;;;;;;;;;;;;;;;;;;;;
16;4.38463328e+00;1.22191428e-03;-1.22083346e+01;5.21072974e+01;-2.64803538e+01;7.72828167e+01;1.73375120e+02;8.33430077e+02;-2.26569376e+02;1.97527557e+03;-6.81053581e+00;1.18978840e+01;1.60716699e+01;3.12029489e+01;4.94755048e+00;1.22992970e+02;-1.02907496e+02;9.57969108e+02;2.15633708e+02;2.43817033e+03;-1.66819070e+02;3.55880758e+03;-6.84692220e+01;3.70583310e+03;1.43189992e+02;4.86785947e+03;7.48743548e+01;6.17387341e+03;-1.73159377e+02;5.39929691e+03;2.95088852e-03;3.98556462e-01;6.45929225e+01;7.00446937e+03;5.87827993e+01;9.44344650e+03;-9.96536833e+01;6.46202284e+03;3.85257157e+01;2.41795356e+03;-3.28296355e+00;3.99603117e+02;;;;;;;;;;;;;;;;;;;;
17;4.38405081e+00;1.36504601e-03;-2.33705111e+00;6.31150416e+01;-6.78701069e+01;1.80889413e+02;1.65347462e+02;3.07103714e+02;5.36774911e+01;1.25941942e+03;-4.57876808e+00;1.43760665e+01;-1.75728233e+00;9.75952197e+01;5.55947044e+01;2.76021455e+02;-1.16402981e+02;4.05845883e+02;4.45875201e+00;5.32882983e+02;3.91494367e+02;1.26066712e+03;-5.50407844e+02;2.95127478e+03;-2.02697926e+01;2.78338528e+03;5.14189583e+02;1.09122667e+04;-5.27241841e+01;1.80146281e+04;-4.03425949e+02;1.65842554e+04;-4.17765847e+01;2.08272042e+04;3.87807144e+02;1.57966925e+04;-1.23366208e+01;7.47257333e+03;-2.85292726e+02;1.08829749e+04;1.69408202e+02;6.27328202e+03;-2.88856009e+01;1.31504257e+03;;;;;;;;;;;;;;;;;;
18;4.38417580e+00;1.33317251e-03;-3.80764528e+00;5.96341532e+01;-6.25236972e+01;2.07256679e+02;1.80798456e+02;1.77798763e+03;-2.99853679e+01;3.82537696e+03;-4.90985716e+00;1.36091408e+01;6.65133581e-01;6.13812327e+01;5.26799720e+01;4.62680338e+02;-1.42965571e+02;2.32162170e+03;1.22311695e+02;5.43906158e+03;1.49111687e+02;6.86198814e+03;-3.24542847e+02;3.65360370e+03;-9.84119610e+00;1.63071910e+03;3.11877100e+02;4.18540123e+03;2.63968410e+01;5.45178819e+03;-2.54917225e+02;1.02071468e+04;-1.16126475e+02;1.71595512e+04;1.65771027e+02;2.92587383e+04;2.17012739e+02;2.09734493e+04;-1.27931075e+02;5.65637103e+04;-2.42331958e+02;6.19270921e+04;2.43567680e+02;2.99976611e+04;-6.32925639e+01;5.64048354e+03;;;;;;;;;;;;;;;;
19;4.38402005e+00;1.35991909e-03;-9.50627783e+00;5.38867575e+01;-6.72540771e+01;2.71834516e+02;2.11634264e+02;5.35708801e+02;-3.46923390e+00;1.19585681e+03;-6.21523962e+00;1.22727136e+01;5.01171800e+00;1.09506329e+02;4.72538756e+01;4.35519439e+02;-1.22393211e+02;1.15934505e+03;3.22424179e+01;2.57818733e+03;3.17375370e+02;5.64723881e+03;-2.96680622e+02;1.22310248e+04;-4.64237493e+02;2.08828683e+04;6.45646298e+02;2.88411248e+04;2.80854761e+02;3.05698095e+04;-2.22582944e+02;2.69359789e+04;-7.36839554e+02;2.11124293e+04;4.38348052e+00;6.51667036e+02;9.88117932e+02;1.53623483e+04;8.02343393e+01;1.69092332e+04;-8.10766755e+02;3.30128633e+04;-1.05178449e+02;3.47774695e+04;5.72678538e+02;1.79260887e+04;-2.04502781e+02;3.67360036e+03;;;;;;;;;;;;;;
20;4.38370066e+00;1.31001182e-03;-3.12384694e+01;2.10007233e+02;3.69380731e+01;4.44939405e+02;-2.07766274e+01;1.18065022e+03;3.95263775e+02;5.19562592e+03;-1.11718681e+01;4.79017860e+01;4.85273053e+01;2.94748866e+02;-1.48971683e+02;7.52320091e+02;4.89543625e+02;2.89700998e+03;-1.26028051e+03;8.21232999e+03;2.07177184e+03;1.37548345e+04;-1.29688417e+03;6.93129443e+03;-1.09204365e+03;3.34734268e+04;1.38991662e+03;3.56493062e+04;1.09161471e+03;6.00988603e+04;-1.00945444e+03;1.10009587e+05;-1.11759719e+03;7.79099116e+04;-1.89236859e+02;1.25471388e+04;1.28306294e+03;6.07210084e+04;8.29843456e+02;5.95689902e+04;-4.61748483e+02;2.49667480e+04;-1.30745370e+03;3.11749616e+04;-3.18737358e+01;6.84581121e+03;1.26462976e+03;2.13363720e+04;-5.27895871e+02;8.59768445e+03;;;;;;;;;;;;
21;4.38387996e+00;1.34563480e-03;-3.32202047e+01;1.54189826e+02;5.84774707e+01;2.15735002e+02;-9.49717477e+01;9.75958352e+02;4.73441347e+02;8.43390694e+03;-1.16185335e+01;3.51612933e+01;5.50706333e+01;1.88325813e+02;-1.87442439e+02;5.85727345e+02;6.10585975e+02;3.25032291e+03;-1.49032813e+03;8.84361244e+03;2.33463927e+03;1.14769057e+04;-1.43899953e+03;1.42734213e+04;-1.12737504e+03;3.78803103e+04;1.52635824e+03;4.36041916e+04;9.25814021e+02;8.82480785e+04;-7.75620251e+02;6.92353442e+04;-1.58337875e+03;5.73422517e+04;4.33117114e+02;4.67399825e+04;1.04987112e+03;9.37786909e+04;6.04027831e+02;7.39448664e+04;-5.17659926e+02;5.76461399e+04;-9.11107020e+02;7.99824374e+04;-2.02239459e+01;2.40506248e+03;8.22124895e+02;7.21195284e+04;-2.14096704e+02;4.85890166e+04;-6.85242987e+01;1.00851993e+04;;;;;;;;;;
