m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err
12;4.67197078e+00;8.40083120e-04;-3.94011125e+01;1.18168299e+01;6.23389273e+01;1.20048463e+02;1.75377444e+02;4.64507323e+02;-7.43726073e+02;8.08838898e+02;1.75929322e+03;4.38897037e+02;-1.23303138e+01;2.51649648e+00;5.66785794e+01;3.48063533e+01;-1.31255229e+02;2.10117928e+02;1.65607405e+02;7.25537940e+02;-2.01038258e+01;1.50024168e+03;-5.03212775e+01;1.70903034e+03;-1.04887258e-01;1.89562755e+01;1.08326994e+02;3.43085559e+03;-4.60840647e+01;5.72883178e+03;-9.25872244e+01;4.76602873e+03;9.69278797e+01;2.09819014e+03;-2.72797236e+01;3.89643605e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4.67201113e+00;8.39161261e-04;-4.07119751e+01;1.24916794e+01;6.96657807e+01;1.18410724e+02;1.73559529e+02;4.28599439e+02;-7.55236785e+02;6.84864723e+02;1.69905024e+03;4.41374957e+02;-1.26083326e+01;2.66162103e+00;5.92409650e+01;3.50934245e+01;-1.39080847e+02;2.03930826e+02;1.74870771e+02;6.82148276e+02;-2.22763249e+01;1.35110714e+03;-6.15473196e+01;1.48119440e+03;-4.12715709e+00;2.50679501e+02;1.38106929e+02;2.41742524e+03;-7.05952422e+01;3.48726874e+03;-7.38256534e+01;2.60005613e+03;5.70311636e+01;1.70681504e+03;1.27684160e+01;9.33864604e+02;-1.31710618e+01;2.16522730e+02;;;;;;;;;;;;;;;;;;;;;;;;
14;4.67199197e+00;8.38483708e-04;-4.00647214e+01;1.10199737e+01;6.49798352e+01;1.11658908e+02;1.79042263e+02;4.52360827e+02;-7.48383264e+02;9.76231067e+02;1.72494375e+03;1.17134855e+03;-1.24709382e+01;2.34982809e+00;5.77427305e+01;3.25021796e+01;-1.33288682e+02;2.02242902e+02;1.64084242e+02;7.69919576e+02;-7.05862133e+00;2.02058028e+03;-8.41637499e+01;3.87439243e+03;4.80645472e+01;5.48702928e+03;6.71301968e+01;5.19877775e+03;-5.81961268e+01;2.49590724e+03;2.82705765e+00;5.04521777e+02;-1.54271292e+01;1.15649985e+03;1.24151523e+01;9.94971736e+02;1.43248884e+01;7.27094586e+02;-9.83713831e+00;1.97913019e+02;;;;;;;;;;;;;;;;;;;;;;
15;4.67198389e+00;8.37453618e-04;-3.96326767e+01;5.65975972e+00;6.13802800e+01;4.43240837e+01;1.86131130e+02;1.10720661e+02;-7.42566047e+02;1.96473850e+02;1.70797816e+03;4.55181263e+02;-1.23791484e+01;1.20514730e+00;5.66411615e+01;1.37021161e+01;-1.28327631e+02;6.23560998e+01;1.53952479e+02;1.44707391e+02;-1.32267057e+00;1.67423549e+02;-6.55200551e+01;3.47617574e+02;7.08435680e+00;9.88578806e+02;7.45439232e+01;1.70742209e+03;1.57993822e+01;2.54013595e+03;-1.08023581e+02;3.12098375e+03;5.17347949e+01;2.12290276e+03;-5.17784406e+00;3.56311317e+02;2.28480136e+01;1.51561022e+03;-1.93209110e+01;1.06962357e+03;3.32674278e+00;2.57670636e+02;;;;;;;;;;;;;;;;;;;;
16;4.67203234e+00;8.39168946e-04;-4.03154230e+01;1.35026922e+01;6.28949234e+01;1.29912446e+02;2.03867029e+02;5.89543100e+02;-7.62317123e+02;1.37319533e+03;1.55999988e+03;1.04718444e+03;-1.25229194e+01;2.87769258e+00;5.74513587e+01;3.79749107e+01;-1.26108271e+02;2.41512231e+02;1.33350897e+02;9.32021581e+02;3.73029286e+01;2.16937142e+03;-9.61331928e+01;2.97800200e+03;-1.63749232e+01;1.61659263e+03;8.69703850e+01;3.06997004e+03;5.53841937e+01;5.20801200e+03;-3.37831137e+01;4.64633667e+03;-1.33790191e+02;4.84919430e+03;-9.55575474e+00;1.32775249e+03;1.58537582e+02;5.85229846e+03;4.04472705e+01;7.96764993e+03;-1.66221356e+02;4.43927317e+03;6.49713365e+01;9.49324253e+02;;;;;;;;;;;;;;;;;;
17;4.67202645e+00;8.40687668e-04;-3.99841582e+01;1.78041136e+01;6.01184682e+01;1.54601413e+02;2.06584963e+02;5.39420778e+02;-7.45357822e+02;1.03627062e+03;1.54722454e+03;1.50698327e+03;-1.24523760e+01;3.79733698e+00;5.65955164e+01;4.70359430e+01;-1.22726689e+02;2.63940975e+02;1.28963580e+02;8.94812983e+02;3.54185644e+01;1.98358213e+03;-8.35170295e+01;3.24543386e+03;-2.38133991e+01;3.99929690e+03;7.96558635e+01;4.52444541e+03;5.37453648e+01;7.58325509e+03;-4.37076335e+01;8.21348611e+03;-6.99032408e+01;6.05594354e+03;-2.35496264e+01;4.70101093e+03;5.37462903e+01;4.00665309e+03;5.50768753e+01;3.57271620e+03;1.99419446e+01;1.63198484e+03;-1.14590836e+02;2.25837068e+03;5.12204867e+01;7.18017267e+02;;;;;;;;;;;;;;;;
18;4.67199652e+00;8.41311101e-04;-3.86709553e+01;1.85391763e+01;5.02690006e+01;1.67990684e+02;2.14990589e+02;5.88022807e+02;-7.01125284e+02;1.12693525e+03;1.54720927e+03;1.69309433e+03;-1.21732692e+01;3.95291555e+00;5.34706137e+01;5.03210364e+01;-1.11093252e+02;2.79222938e+02;1.13508125e+02;8.86393567e+02;3.55959650e+01;1.68563278e+03;-6.08174868e+01;1.83544546e+03;-2.70361405e+00;4.90727353e+02;-2.34779767e+01;2.79153403e+03;1.12956494e+02;2.92146140e+03;1.14157757e+01;2.78277788e+03;-9.10730623e+01;6.03126185e+03;-6.35958555e+01;8.86595624e+03;3.46653194e+01;9.86726031e+03;7.33723657e+01;4.61181305e+03;3.85368280e+01;4.57186742e+03;-6.11979569e+01;5.92854989e+03;-3.78551848e+01;4.11439975e+03;3.23236533e+01;1.08107916e+03;;;;;;;;;;;;;;
19;4.67201463e+00;8.41161450e-04;-3.97001652e+01;2.00032377e+01;5.92426632e+01;1.70503703e+02;1.98776773e+02;6.03508359e+02;-7.25411884e+02;1.19266652e+03;1.58466005e+03;1.38943082e+03;-1.23921582e+01;4.26670545e+00;5.61905970e+01;5.20117288e+01;-1.23294657e+02;2.86156813e+02;1.37716372e+02;9.45854609e+02;1.67802399e+01;1.88233050e+03;-7.24089449e+01;2.13242585e+03;6.74226861e+00;1.03209573e+03;4.57697401e+01;2.41238221e+03;7.17127027e+00;1.62920340e+03;3.36781680e+01;4.62288950e+03;-7.67710185e+01;5.63232634e+03;-1.26842929e+01;4.03698292e+03;-1.39700122e+01;1.57634433e+03;7.88733304e+01;3.41173462e+03;1.32985769e+01;3.76752886e+03;-4.11051303e+01;6.38645229e+03;-1.33269589e+01;5.89920388e+03;5.26207778e+00;3.10115636e+03;6.52266325e+00;7.40064860e+02;;;;;;;;;;;;
20;4.67193359e+00;8.40013132e-04;-3.33875248e+01;8.81770899e+00;-1.19554453e-02;4.77528001e+00;3.55805603e+02;6.87697790e+02;-7.60258133e+02;2.99786568e+03;1.39471738e+03;4.26875603e+03;-1.10495704e+01;1.89220412e+00;3.86267517e+01;7.27402586e+00;-3.33904234e+01;1.21272166e+02;-9.53106874e+01;1.02978109e+03;3.36161889e+02;3.53328426e+03;-2.13801196e+02;7.45233478e+03;-1.97014792e+02;1.44916587e+04;2.31725807e+02;2.54957705e+04;1.61417628e+02;2.63452888e+04;-7.55350548e+01;1.24055798e+04;-2.66239606e+02;1.99416557e+04;4.55094834e+01;7.34877697e+03;1.04958567e+02;2.69386737e+04;1.51310876e+02;2.42587323e+04;-8.48133151e+01;1.47921551e+04;-1.14164404e+02;1.52077718e+04;1.19430384e+01;8.13019121e+03;7.07400325e+01;1.06790813e+04;-2.20374363e+01;8.19851604e+03;-1.78714414e+00;2.13854261e+03;;;;;;;;;;
21;4.67225895e+00;8.43252424e-04;5.94327185e+01;2.17365348e+03;-5.24644867e+01;8.30144371e+03;-6.31532678e+01;5.04868244e+03;1.05136073e+03;2.92005858e+04;-1.02145505e+03;1.32507731e+05;8.85939991e+00;4.65425387e+02;-5.14246400e+01;2.39000912e+03;1.46681832e+02;7.96603498e+03;-1.65474606e+02;1.62752149e+04;8.56544098e+01;1.98349336e+04;-6.26399779e+01;2.63853670e+04;7.25423380e+01;2.28637643e+04;2.72083980e+01;2.05112988e+04;-3.47026902e+01;2.71604370e+04;-1.71681132e+02;3.78101335e+04;3.47710754e+01;2.83236921e+04;1.84473697e+02;6.44520351e+04;9.53017770e+01;6.24669620e+04;-6.22524980e+01;6.11241400e+04;-2.13229928e+02;4.93350463e+04;-9.55048936e+01;1.24666548e+05;1.45234055e+02;1.98678975e+05;1.79561551e+02;1.48003325e+05;2.00921625e+01;2.94455818e+04;-2.54363326e+02;4.48334854e+04;1.09033468e+02;2.11216009e+04;;;;;;;;
22;4.67224223e+00;8.42707609e-04;1.32354852e+01;8.26404581e+02;-5.61492510e+01;8.55120980e+02;7.55049551e+01;2.62461180e+03;2.17537814e+02;1.13131026e+04;-3.24541959e+02;1.87716893e+04;-1.04719050e+00;1.76859771e+02;-1.30352730e+01;6.91123937e+02;6.78495935e+01;1.42737720e+03;-1.35047154e+02;1.96882204e+03;1.48804112e+02;6.16334120e+03;-1.04680998e+02;9.94303341e+03;4.45485437e+01;5.86970054e+03;1.88802701e+01;8.63153041e+03;-4.48947800e+01;1.41641306e+04;-6.63206114e+01;1.59591724e+04;8.19021953e+01;7.57068336e+03;1.01266008e+02;2.40458954e+04;-8.04865464e+01;3.95551367e+04;5.19802933e+01;2.12130347e+04;-2.73279648e+02;3.84246269e+04;1.00187094e+02;5.89340001e+04;2.09339209e+02;7.85689521e+04;7.16990347e+01;2.63830597e+04;-2.05865793e+02;9.26960058e+04;-1.63481997e+02;8.44657646e+04;2.74839696e+02;3.27235240e+04;-8.69303506e+01;5.11654611e+03;;;;;;
23;4.67202190e+00;8.40053102e-04;-4.01894477e+01;3.51457480e+01;6.13262745e+01;8.39446791e+01;2.00370872e+02;5.79337190e+02;-6.99627575e+02;1.30929073e+03;1.39497306e+03;2.67533819e+03;-1.24945264e+01;7.52892735e+00;5.69446077e+01;4.55487922e+01;-1.24136377e+02;1.44405820e+02;1.35288958e+02;6.41663036e+02;9.16307936e+00;1.54010925e+03;-4.71034104e+01;2.29497950e+03;-3.69256729e+01;3.17459655e+03;4.62039964e+01;4.44279507e+03;6.36347681e+01;5.26935050e+03;-7.89625639e+00;3.35737492e+03;-4.15622269e+01;1.30705390e+04;-5.16970398e+01;1.28383690e+04;-1.94733754e+01;7.10954637e+03;4.66121993e+01;1.07836388e+04;3.93175387e+01;3.27202069e+03;4.10692688e+01;6.05009810e+03;-6.99021267e+00;2.63665400e+03;-4.78984001e+01;1.42778921e+04;-4.64353788e+01;2.51628985e+04;-2.35785661e+01;2.59201849e+04;4.92050329e+01;3.33196349e+04;6.21650795e+01;2.37648881e+04;-4.77547503e+01;5.98182011e+03;;;;
24;4.67203089e+00;8.40805678e-04;-3.92989927e+01;2.96904384e+01;5.41858883e+01;2.44237122e+02;2.13223974e+02;1.14541450e+03;-6.99621942e+02;3.10920398e+03;1.46227767e+03;2.79596651e+03;-1.23057209e+01;6.34150616e+00;5.47582760e+01;7.46006879e+01;-1.14957802e+02;4.47905241e+02;1.17614140e+02;1.79621458e+03;3.00091262e+01;4.36525124e+03;-5.07392884e+01;6.24357409e+03;-4.37486534e+01;4.43567519e+03;5.10476186e+01;6.36937586e+03;4.95989212e+01;7.34469486e+03;5.74730211e+00;1.47426134e+03;-3.56963182e+01;6.23660385e+03;-4.73685313e+01;6.69035403e+03;-1.65506865e+01;1.80007590e+03;4.81476269e+00;1.41638152e+03;5.50797958e+01;6.76321186e+03;4.01366683e+01;7.74519119e+03;9.51021928e+00;6.03764032e+03;-2.83136714e+01;1.88058500e+04;-4.70996020e+01;3.17643535e+04;-2.92634254e+01;2.54555224e+04;-6.98737989e-01;1.06507445e+03;4.21229800e+01;2.46735742e+04;4.79013780e+01;2.11130168e+04;-4.30001815e+01;5.61292642e+03;;
25;4.67200688e+00;8.41705404e-04;-4.06086792e+01;3.04093526e+01;5.88140924e+01;1.67585989e+02;2.52903236e+02;1.26225431e+03;-8.52423933e+02;3.90643768e+03;1.41799246e+03;3.83235678e+03;-1.25850064e+01;6.51133021e+00;5.67921600e+01;5.40685436e+01;-1.12532527e+02;3.91527258e+02;6.61723975e+01;1.93531136e+03;1.77515812e+02;5.10411569e+03;-2.44513578e+02;7.13820080e+03;-1.97438961e+01;3.45756523e+03;1.89272505e+02;1.46610277e+04;8.34969883e+01;2.14327296e+04;-1.33378835e+02;9.84353249e+03;-1.22705441e+02;6.53263847e+03;-1.31881680e+01;5.46309642e+03;8.94250743e+01;9.88980668e+03;1.19181593e+02;9.84246666e+03;1.76089708e+01;2.75934716e+03;-5.09639018e+01;1.55258769e+04;-8.56575545e+01;1.23050815e+04;-6.71145654e+01;3.46121571e+04;8.83908553e+00;7.72550686e+03;7.28832781e+01;3.38434621e+04;7.90491897e+01;4.52949306e+04;5.21590416e+00;5.92561479e+03;-5.66824586e+01;6.64891697e+04;-6.42137466e+01;5.61300842e+04;5.02958044e+01;1.44931472e+04
