m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err
12;4.38484978e+00;1.44442431e-03;-1.04999903e+01;5.22119501e+02;-1.04407305e+02;2.18745161e+03;1.18883095e+02;2.33879542e+04;8.22783871e+02;2.45867069e+04;-2.69880927e+03;2.12712049e+05;7.79323931e+03;7.16333057e+05;9.74185385e+03;1.82277485e+06;1.80388349e+04;2.87476745e+06;3.51222819e+04;3.99956390e+06;-6.40483095e+00;1.19065268e+02;-4.12437807e+00;7.77509011e+02;8.64456458e+01;5.63796497e+03;-2.18525541e+02;2.73674147e+04;3.32813407e+02;5.10019078e+04;8.11245590e+01;2.39422695e+04;1.02808766e+03;1.86436584e+05;3.97992072e+02;2.05608887e+05;9.46968075e+02;3.09446391e+05;5.78714906e+02;1.58986562e+05;-7.00244084e+02;8.12763320e+04;2.14174786e+02;2.14365551e+04;;;;;;;;;;;;;;;;;;
13;4.38527286e+00;1.44327447e-03;1.86436186e+01;1.12574562e+02;-3.54067496e+02;3.18225666e+03;4.46293264e+02;2.57883869e+04;3.27509634e+03;4.74096169e+04;-1.41936742e+04;1.17190208e+05;3.51224784e+04;7.03447500e+05;-1.00017802e+04;1.79745972e+06;-1.49615639e+04;2.12731773e+06;2.77843102e+04;1.71746731e+06;2.66889825e-01;2.56730481e+01;-8.91474123e+01;7.45177784e+02;4.92389786e+02;8.78787688e+03;-1.12828173e+03;4.30893170e+04;1.13334620e+03;1.15553199e+05;1.17177298e+03;1.83505204e+05;-1.97166504e+03;1.40537300e+05;1.97866077e+02;7.43349055e+04;2.07056004e+03;6.52450928e+04;-6.19911245e+01;2.21893003e+04;-1.92532660e+03;5.93039631e+04;1.60416598e+03;4.59200987e+04;-4.15316204e+02;1.13036872e+04;;;;;;;;;;;;;;;;
14;4.38437184e+00;1.37204554e-03;-2.96191807e+01;2.33337545e+02;9.69988447e+00;1.45523267e+03;1.82891642e+02;1.14048400e+03;-1.89993126e+02;8.65049168e+03;-5.04821446e+02;1.26899283e+04;3.50181233e+03;6.46987865e+04;2.27142778e+03;2.25611544e+05;-4.15509264e+02;6.72501274e+04;-1.26499905e+03;1.33183140e+05;-1.07836709e+01;5.32079728e+01;4.02082683e+01;5.45121697e+02;-6.45901911e+01;2.00884598e+03;2.53949883e+01;3.52468575e+03;9.77444307e+01;4.14251265e+03;6.35053463e+01;8.30636229e+03;3.77488076e-01;1.00618957e+02;2.55802880e+01;2.76199940e+03;1.00962117e+01;2.68242960e+03;-3.89604606e+01;7.48411376e+03;-3.73028918e+01;6.30552060e+03;7.94785383e+00;1.68659598e+03;4.24314887e+01;4.20722996e+03;-2.08227202e+01;1.49476103e+03;;;;;;;;;;;;;;
15;4.38449425e+00;1.40218446e-03;-2.80964917e+01;5.78536224e+01;-1.17836387e+00;2.71902949e+02;1.84267764e+02;1.40045361e+03;-7.23033735e+01;4.65317181e+03;-8.69385875e+02;1.65461269e+04;4.15750466e+03;9.27278115e+04;2.68675857e+03;2.66724463e+05;9.89305647e+02;2.30467197e+05;-9.01361107e+02;1.13922733e+05;-1.04325892e+01;1.31850697e+01;3.61904352e+01;1.11759323e+02;-4.82161778e+01;3.34952939e+02;-7.00657055e+00;1.99534792e+03;1.30219337e+02;7.07234193e+03;7.46752614e+01;1.39644067e+04;4.37304217e+01;1.24911524e+04;4.20911186e+01;7.91888514e+03;1.75655921e+01;3.48204330e+03;-1.56631537e+01;4.32265298e+03;-2.13563569e+01;4.55435287e+03;-2.15133744e+01;3.70284017e+03;-3.18651775e+00;1.37995972e+03;5.35844650e+01;2.85657192e+03;-2.70400762e+01;1.08299446e+03;;;;;;;;;;;;
16;4.38408172e+00;1.33041671e-03;-3.05760168e+01;2.53978184e+02;1.61034259e+01;1.48083209e+03;1.87111962e+02;8.55263437e+02;-3.19850240e+02;9.91418092e+03;2.01809253e+01;4.58054008e+03;2.67919420e+03;6.65206058e+04;1.51566113e+03;2.84671124e+05;-4.27860997e+02;1.04466270e+05;2.85673900e+02;7.42491724e+04;-1.10100495e+01;5.79139344e+01;4.28257582e+01;5.70291678e+02;-7.62488999e+01;1.90260354e+03;5.28884776e+01;2.56620176e+03;7.06658372e+01;2.62630063e+03;3.06262936e+01;8.43265815e+03;2.13396762e+01;4.39120168e+03;3.17830384e+01;5.95995578e+03;-1.04291894e+01;2.67336421e+03;2.65372261e+01;4.36768002e+03;-1.68447575e+01;5.19179958e+03;-1.79342572e+01;4.73073338e+03;-8.55216093e+00;2.65391607e+03;1.78722797e+01;5.14200709e+03;1.47930133e+01;6.34612840e+03;-1.29770089e+01;2.40771890e+03;;;;;;;;;;
17;4.38447510e+00;1.40526704e-03;-3.07205521e+01;3.22665166e+02;1.76998636e+01;2.11762033e+03;1.72460266e+02;1.76244348e+03;-1.98270168e+02;1.08384328e+04;-5.69527669e+02;2.04348807e+04;3.74993611e+03;8.02841467e+04;1.85287114e+03;3.03603969e+05;-1.05229765e+01;2.27522278e+03;-1.40582257e+03;1.77152354e+05;-1.10317890e+01;7.35861299e+01;4.29378879e+01;7.78476234e+02;-7.53583745e+01;3.05885464e+03;4.43408186e+01;5.87888540e+03;8.60867566e+01;5.63006067e+03;4.70292043e+01;9.30959047e+03;3.14983906e+01;5.80337133e+03;2.11707891e+01;6.08753621e+03;-2.19329223e+01;5.92960861e+03;8.55965882e+00;2.03088800e+03;-5.09589829e+01;7.23797742e+03;-3.04978097e+01;8.86443682e+03;4.69938286e+01;1.02078468e+04;3.91534776e+01;1.43837658e+04;-2.39624990e+01;1.38000677e+04;-2.97862048e+01;8.78506541e+03;1.72695620e+01;2.30555527e+03;;;;;;;;
18;4.38455117e+00;1.40419955e-03;-2.99769560e+01;1.99880048e+02;1.19608402e+01;1.43043456e+03;1.72284920e+02;2.72509838e+03;-1.14040784e+02;7.63209511e+03;-8.28248472e+02;2.76111535e+04;4.18208114e+03;8.24163936e+04;2.00768887e+03;2.07380770e+05;3.23734265e+02;7.09958179e+04;-1.04227356e+03;1.53973895e+05;-1.08597782e+01;4.55941216e+01;4.08558138e+01;5.07731128e+02;-6.67415879e+01;2.25670248e+03;2.98044195e+01;5.76046906e+03;9.05936608e+01;9.84479344e+03;7.22568036e+01;1.40889524e+04;5.59095146e+01;1.59835513e+04;-2.82227120e+01;1.51349487e+04;-5.33784284e+00;1.92225092e+03;9.26024855e+01;2.77045908e+04;-6.50511895e+01;3.66976423e+04;-7.26041113e+01;1.84423288e+04;-3.18889632e+01;2.03827646e+04;8.89062086e+01;3.02976122e+04;6.54825189e+01;2.48163287e+04;-2.17725569e+01;1.68852401e+04;-1.03874588e+02;1.85949103e+04;5.54161490e+01;6.09653164e+03;;;;;;
19;4.38469291e+00;1.45160944e-03;1.19261820e+01;1.34994173e+03;2.42613072e+01;3.84302115e+03;-1.63983556e+03;7.94537051e+04;9.59645925e+02;3.42724869e+05;1.80938671e+04;8.53010338e+05;-5.58868315e+04;4.45032188e+06;1.39038192e+05;1.38604409e+07;1.11139935e+05;3.42655861e+07;2.21104509e+05;5.09877120e+07;-1.30175864e+00;3.07798631e+02;5.48658415e+00;1.27466634e+03;-4.03577102e+02;1.84460779e+04;2.03246498e+03;1.43168629e+05;-3.87528595e+03;5.26347852e+05;3.42463283e+03;1.13753901e+06;6.53168491e+03;1.95341321e+06;5.94237580e+03;2.84974148e+06;1.87519684e+03;1.53990531e+06;-1.20970330e+03;1.28457949e+06;4.87734173e+03;2.77183505e+06;3.62751538e+03;3.29207296e+06;-6.66152588e+03;3.23244840e+06;-3.63357095e+03;3.49690488e+06;1.48161236e+03;1.59825728e+06;8.98468909e+03;3.19200576e+06;-5.33081879e+03;3.44243492e+06;-1.93356816e+03;2.08349751e+06;1.48418579e+03;5.29812832e+05;;;;
20;4.38478483e+00;1.44424567e-03;-1.45079009e+01;7.36972474e+02;-7.86662852e+01;4.83944830e+03;8.70130760e+01;9.13550854e+03;8.37073557e+02;2.96914311e+04;-2.37278943e+03;1.11318494e+05;6.62841112e+03;3.41065702e+05;6.17938819e+03;1.41675020e+06;1.89503224e+04;3.35580242e+06;1.22194473e+04;3.48978694e+06;-7.32184520e+00;1.68088815e+02;5.55167734e+00;1.75802848e+03;4.34210784e+01;6.43648816e+03;-7.80714756e+01;1.14576532e+04;4.54739197e-01;1.16741976e+02;4.90016319e+02;6.12703158e+04;5.20313622e+02;1.63696887e+05;2.46578470e+02;1.62855274e+05;2.06688010e+02;1.12570094e+05;4.06739406e+02;2.36664039e+05;5.46198974e+02;3.15388208e+05;-1.13514972e+03;2.07355970e+05;2.42805303e+02;2.46543024e+05;5.60415618e+02;2.34649171e+05;-8.66273471e+02;2.94579581e+05;5.51811894e+02;3.50485732e+05;-4.34520208e+01;3.40619939e+04;6.88064631e+02;3.95498648e+05;-1.15926005e+03;3.58041917e+05;4.67749904e+02;1.02612008e+05;;
21;4.38485460e+00;1.45137027e-03;8.49896735e+01;2.83730062e+03;-7.50885625e+02;1.83702223e+04;2.82439477e+02;7.24965520e+04;5.27960876e+03;1.45440527e+05;-9.04663505e+03;6.10797017e+05;7.08573048e+03;1.26154092e+06;6.72246576e+04;3.69268291e+06;4.85632227e+04;1.08852127e+07;2.53260187e+04;7.14255854e+06;1.53802950e+01;6.47204222e+02;-2.39688542e+02;6.45160426e+03;9.62625395e+02;3.30663315e+04;-1.61598385e+03;1.16447612e+05;9.92769314e+02;3.08042131e+05;1.85279519e+03;6.72160946e+05;2.00066574e+03;1.06901048e+06;9.60139912e+02;6.08218930e+05;-1.59397716e+02;1.28788668e+05;9.17610659e+02;6.56099957e+05;8.57334367e+02;8.15249965e+05;5.27350135e+02;5.03161561e+05;-7.83055986e+02;7.17655901e+05;-1.90005735e+03;8.06187045e+05;-2.28151781e+02;2.70315605e+05;6.72655015e+02;6.62954162e+05;1.64128203e+03;1.01611187e+06;1.35818107e+03;9.83860364e+05;-1.27325204e+03;1.16354995e+06;-2.48901003e+03;1.05646048e+06;1.65932225e+03;3.48466607e+05
